additions,additions_avg,additions_max,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,minor_contributors_count
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,fetcher\\tornado_fetcher.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,libs\\response.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,webui\\app.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,test\\__init__.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,webui\\index.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,database\\sqlite\\basedb.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,libs\\log.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,libs\\sample_handler.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,scheduler\\task_queue.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,run.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,database\\sqlite\\projectdb.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,database\\base\\taskdb.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,test\\data_handler.py,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,c26008111f538b24856ed4e5d28a2faf9c37a852,0.0,2014-03-09 00:52:52+08:00,0.0,0.0,0.0,0.0,0.0,processor\\project_module.py,0.0,0.0,0.0
